sample_name,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
N01_1_2,N01_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N01_1_2_R1.fastq.gz,N01_1_2_R2.fastq.gz,,,,
N01_1_3,N01_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N01_1_3_R1.fastq.gz,N01_1_3_R2.fastq.gz,,,,
N01_1_4,N01_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N01_1_4_R1.fastq.gz,N01_1_4_R2.fastq.gz,,,,
N01_2_2,N01_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N01_2_2_R1.fastq.gz,N01_2_2_R2.fastq.gz,,,,
N01_2_3,N01_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N01_2_3_R1.fastq.gz,N01_2_3_R2.fastq.gz,,,,
N01_2_4,N01_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N01_2_4_R1.fastq.gz,N01_2_4_R2.fastq.gz,,,,
N02_1_2,N02_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N02_1_2_R1.fastq.gz,N02_1_2_R2.fastq.gz,,,,
N02_1_3,N02_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N02_1_3_R1.fastq.gz,N02_1_3_R2.fastq.gz,,,,
N02_1_4,N02_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N02_1_4_R1.fastq.gz,N02_1_4_R2.fastq.gz,,,,
N02_2_2,N02_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N02_2_2_R1.fastq.gz,N02_2_2_R2.fastq.gz,,,,
N02_2_3,N02_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N02_2_3_R1.fastq.gz,N02_2_3_R2.fastq.gz,,,,
N02_2_4,N02_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N02_2_4_R1.fastq.gz,N02_2_4_R2.fastq.gz,,,,
N03_1_4,N03_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N03_1_4_R1.fastq.gz,N03_1_4_R2.fastq.gz,,,,
N03_2_2,N03_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N03_2_2_R1.fastq.gz,N03_2_2_R2.fastq.gz,,,,
N03_2_3,N03_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N03_2_3_R1.fastq.gz,N03_2_3_R2.fastq.gz,,,,
N03_2_4,N03_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N03_2_4_R1.fastq.gz,N03_2_4_R2.fastq.gz,,,,
N04_1_2,N04_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N04_1_2_R1.fastq.gz,N04_1_2_R2.fastq.gz,,,,
N04_1_3,N04_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N04_1_3_R1.fastq.gz,N04_1_3_R2.fastq.gz,,,,
N04_1_4,N04_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N04_1_4_R1.fastq.gz,N04_1_4_R2.fastq.gz,,,,
N04_2_2,N04_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N04_2_2_R1.fastq.gz,N04_2_2_R2.fastq.gz,,,,
N04_2_3,N04_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N04_2_3_R1.fastq.gz,N04_2_3_R2.fastq.gz,,,,
N04_2_4,N04_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N04_2_4_R1.fastq.gz,N04_2_4_R2.fastq.gz,,,,
N05_1_2,N05_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N05_1_2_R1.fastq.gz,N05_1_2_R2.fastq.gz,,,,
N05_1_3,N05_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N05_1_3_R1.fastq.gz,N05_1_3_R2.fastq.gz,,,,
N05_1_4,N05_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N05_1_4_R1.fastq.gz,N05_1_4_R2.fastq.gz,,,,
N05_2_2,N05_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N05_2_2_R1.fastq.gz,N05_2_2_R2.fastq.gz,,,,
N05_2_3,N05_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N05_2_3_R1.fastq.gz,N05_2_3_R2.fastq.gz,,,,
N05_2_4,N05_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N05_2_4_R1.fastq.gz,N05_2_4_R2.fastq.gz,,,,
N06_1_2,N06_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N06_1_2_R1.fastq.gz,N06_1_2_R2.fastq.gz,,,,
